Rank,N-gram,TF-IDF Score
235,tarif barang impor,0.002376666403091099
236,terdampak kebijakan tarif,0.002371464908656412
237,pejabat gedung putih,0.0023654448084167385
238,periode sama tahun,0.0023624762305819763
239,baru amerika serikat,0.0023607844212807584
240,april wib waktu,0.002357816012534736
241,tarif selama hari,0.002356605608728517
242,tarif persen impor,0.002342488830986062
243,bbc news indonesia,0.0023400636481685166
244,perwakilan dagang jamieson,0.0023334386905852884
245,memberlakukan tarif baru,0.0023273933758832296
246,kebijakan luar negeri,0.0023227182001583956
247,airlangga konferensi pers,0.002322477266850966
248,perdagangan uni eropa,0.0023201987633395455
249,pasar keuangan global,0.0023167044310533303
250,berbagai negara termasuk,0.0023166237032752617
251,sebagian besar tarif,0.002314517077806948
252,tarif dasar sebesar,0.002305175932628405
253,pemerintahan presiden amerika,0.0022932417099117463
254,donald trump mengancam,0.002289702916345529
255,resiprokal amerika serikat,0.0022875879328133463
256,dikenakan tarif impor,0.0022842564731672538
257,mengancam mengenakan tarif,0.0022796515210057127
258,menko perekonomian airlangga,0.002279280215907765
259,harga minyak mentah,0.002278875585669447
260,negara dikenakan tarif,0.0022743735129636357
261,bicara kementerian luar,0.0022713462891850874
262,mengenakan tarif tinggi,0.0022695294968617854
263,industri padat karya,0.0022641296286636265
264,ekonomi amerika serikat,0.0022583573877979876
265,pers gedung putih,0.002256701146955717
266,states trade representative,0.0022460537577604182
267,trade representative ustr,0.0022397716754589316
268,harga saham gabungan,0.0022384628519401496
269,harga barang barang,0.002236351462638087
270,selama bertahun tahun,0.002228293993151768
271,negara negara eropa,0.0022279523425429433
272,tarif perang dagang,0.002227596909888832
273,penurunan suku bunga,0.0022266426432753037
274,ekspor amerika serikat,0.0022208433924726643
275,indonesia salah satu,0.0022158242667916707
276,selama hari depan,0.0022142632823346064
277,kamis waktu setempat,0.002212155261112007
278,bertanggung jawab atas,0.0022117417623114008
279,negara tujuan ekspor,0.002210407022455097
280,impor presiden amerika,0.002206782682373687
281,eskalasi perang dagang,0.002202801539057828
