N-gram,TF-IDF Score,Type
januari,0.007697056836549403,Unigram
bakal,0.007690464493709753,Unigram
peningkatan,0.007687971316566711,Unigram
soal,0.007682267304762497,Unigram
rendah,0.007671975523004563,Unigram
kepentingan,0.007669192854529938,Unigram
peluang,0.007649106885644617,Unigram
masalah,0.007600276437178475,Unigram
membalas,0.007585989931227108,Unigram
otomotif,0.0075682683805321695,Unigram
aluminium,0.007565117411754723,Unigram
prabowo,0.00756364557490395,Unigram
diumumkan,0.00755347068074709,Unigram
senilai,0.007549861928143737,Unigram
adil,0.007546654046220758,Unigram
sistem,0.007539175368154421,Unigram
selatan,0.007493743862131511,Unigram
menekan,0.007474462094180328,Unigram
india,0.007462892378949937,Unigram
terdampak,0.007435647062315232,Unigram
usd,0.0074152753909923486,Unigram
pembicaraan,0.007405910173731568,Unigram
bunga,0.007405495596740261,Unigram
amerika serikat,0.027469323448894505,Bigram
donald trump,0.023289584448210984,Bigram
kebijakan tarif,0.022117624291739402,Bigram
tarif impor,0.021222816821741985,Bigram
negara negara,0.01927733190624051,Bigram
tarif trump,0.018006551711442588,Bigram
presiden donald,0.016837837580944846,Bigram
presiden amerika,0.016290099284433212,Bigram
perang dagang,0.016281156288395437,Bigram
barang barang,0.015915561069039928,Bigram
serikat donald,0.01565592616201398,Bigram
tarif resiprokal,0.014337206592689075,Bigram
salah satu,0.013594608065758015,Bigram
tarif baru,0.012929219285754684,Bigram
uni eropa,0.012758146424008736,Bigram
sebesar persen,0.012755280742965893,Bigram
gedung putih,0.012628746209948463,Bigram
mengenakan tarif,0.012553136413522651,Bigram
timbal balik,0.012176074233541622,Bigram
bea masuk,0.012078846016757943,Bigram
mitra dagang,0.011699974650762777,Bigram
luar negeri,0.011350295259870202,Bigram
tarif tinggi,0.01092777075867113,Bigram
tarif timbal,0.010584633695626526,Bigram
memberlakukan tarif,0.00996582942156917,Bigram
tarif persen,0.009954065068792057,Bigram
kanada meksiko,0.009944764661296424,Bigram
kedua negara,0.009921144803348134,Bigram
tarif tersebut,0.009900425407870075,Bigram
sebagian besar,0.009779836977706267,Bigram
kerja sama,0.00976807585540131,Bigram
kenaikan tarif,0.00959007386951923,Bigram
pertumbuhan ekonomi,0.009315889150198273,Bigram
produk produk,0.0090578810670392,Bigram
pemerintah indonesia,0.009011941815910965,Bigram
perang tarif,0.008944062939906195,Bigram
penerapan tarif,0.008935343113857342,Bigram
suku bunga,0.00889126794045389,Bigram
tarif sebesar,0.008848267574382307,Bigram
barang impor,0.008814214736509483,Bigram
presiden trump,0.008705640039456071,Bigram
negara tersebut,0.008668497100702463,Bigram
selama hari,0.008588531837502168,Bigram
trump mengumumkan,0.00857478803048629,Bigram
pemerintahan trump,0.008550525078804948,Bigram
defisit perdagangan,0.008375199430676578,Bigram
dikenakan tarif,0.008369349965012951,Bigram
menaikkan tarif,0.008210750015519916,Bigram
menerapkan tarif,0.008072486575554866,Bigram
ekonomi global,0.007976626624311445,Bigram
menjadi persen,0.007939026606388445,Bigram
perdagangan global,0.007919098075117148,Bigram
perusahaan perusahaan,0.007817065599232157,Bigram
trump mengatakan,0.007710729725269553,Bigram
mata uang,0.007702483295801527,Bigram
menteri keuangan,0.007613682859010711,Bigram
sejumlah negara,0.00752846390759013,Bigram
tarif tambahan,0.00737675584021088,Bigram
nilai tukar,0.00720311796282944,Bigram
tarif presiden,0.007187097380524912,Bigram
perdagangan internasional,0.0071835455043653094,Bigram
pengenaan tarif,0.007167658884979576,Bigram
baja aluminium,0.007093481349064267,Bigram
termasuk indonesia,0.006936771387780715,Bigram
ekspor indonesia,0.006930945614943757,Bigram
mulai berlaku,0.006840684702991985,Bigram
meksiko kanada,0.006827100301649981,Bigram
perdana menteri,0.006714055593892524,Bigram
daya saing,0.006595453550908392,Bigram
kebijakan perdagangan,0.006559657081064553,Bigram
tahun lalu,0.006559463698783476,Bigram
kebijakan trump,0.006553257927614545,Bigram
kenaikan harga,0.006539425623609604,Bigram
bank sentral,0.00649219585593803,Bigram
tarif barang,0.0064667851395682095,Bigram
impor china,0.006460422830567171,Bigram
waktu setempat,0.0064600988419925365,Bigram
jangka panjang,0.00644394528161139,Bigram
korea selatan,0.00644170097322009,Bigram
dampak tarif,0.006422375432463741,Bigram
mengumumkan tarif,0.006398514454436104,Bigram
masing masing,0.0063472359287837865,Bigram
barang china,0.006289165401583264,Bigram
rantai pasok,0.0062493715787260646,Bigram
pasar saham,0.006214375640028349,Bigram
hingga persen,0.006207090051757606,Bigram
tarif balasan,0.00617360030448564,Bigram
kementerian perdagangan,0.006164164512234349,Bigram
the fed,0.006145965499286705,Bigram
negara termasuk,0.006138676849163212,Bigram
pasar global,0.006110894578058851,Bigram
airlangga hartarto,0.006069734646584567,Bigram
negara mitra,0.006011378445406883,Bigram
konferensi pers,0.006004236187682225,Bigram
paman sam,0.005995536731674322,Bigram
langkah langkah,0.005978817603220443,Bigram
sebesar miliar,0.005969669391747573,Bigram
tarif dasar,0.005956708035187111,Bigram
terbesar dunia,0.005955043750357242,Bigram
banyak negara,0.005920430339428139,Bigram
perekonomian airlangga,0.005893876332093415,Bigram
rantai pasokan,0.005875832747407067,Bigram
tarif diberlakukan,0.005819840394465093,Bigram
presiden prabowo,0.005703391004933676,Bigram
trump mengenakan,0.00569091874041861,Bigram
menteri perdagangan,0.00567160667558055,Bigram
jakarta presiden,0.005649387449066368,Bigram
media sosial,0.005648522544824538,Bigram
pekan lalu,0.005607228026681018,Bigram
beberapa negara,0.00558276832602514,Bigram
negosiasi tarif,0.005579730065577881,Bigram
tarif dikenakan,0.0055546603055694295,Bigram
semua negara,0.005543022035566997,Bigram
dikenai tarif,0.0055258809284663805,Bigram
