url,judul,channel
https://www.bloombergtechnoz.com/detail-news/61488/harga-minyak-dunia-tak-gerak-banyak-imbas-kebijakan-tarif-trump/2,"Harga Minyak Dunia Tak Gerak Banyak, Imbas Kebijakan Tarif Trump - Energi - Bloomberg Technoz",Bloombergtechnoz
https://www.liputan6.com/global/read/5897165/kolombia-akhirnya-setuju-terima-deportasi-migran-ilegal-dari-as-usai-ancaman-tarif-trump,Kolombia Akhirnya Setuju Terima Deportasi Migran Ilegal dari AS Usai Ancaman Tarif Trump - Liputan6.com,Liputan6
https://www.kabarbursa.com/makro/trump-vs-powell-siapa-penggerak-pasar-saham-di-awal-tahun-ini,"Trump vs Powell, Siapa Penggerak Pasar Saham di Awal Tahun ini? - KabarBursa.com",Kabarbursa
https://www.bloombergtechnoz.com/detail-news/61427/harga-tembaga-anjlok-respons-tarif-terbaru-trump,"Harga Tembaga Anjlok, Respons Tarif Terbaru Trump - Bloomberg Technoz",Bloombergtechnoz
https://katadata.co.id/infografik/67984c7544d78/infografik-donald-trump-kurangi-peran-as-di-kancah-global,INFOGRAFIK: Donald Trump Kurangi Peran AS di Kancah Global - Katadata.co.id,Katadata
https://www.kompas.id/artikel/trump-kembali-lempar-ancaman-tarif-100-persen-terhadap-negara-negara-brics,Trump Kembali Lempar Ancaman Tarif 100 Persen terhadap Negara-negara BRICS - Kompas.id,Kompas
https://www.cnbcindonesia.com/research/20250201140710-128-607206/tarif-tinggi-impor-bisa-buat-ekonomi-as-mundur-kebijakan-trump-nekat,"Tarif Tinggi Impor Bisa Buat Ekonomi AS Mundur, Kebijakan Trump Nekat? - CNBC Indonesia",CNBC Indonesia
https://news.detik.com/internasional/d-7759802/ini-alasan-trump-buat-kebijakan-yang-bikin-panas-kanada-meksico-china,Ini Alasan Trump Buat Kebijakan yang Bikin Panas Kanada-Meksico-China - detikNews,Detik
https://www.metrotvnews.com/read/b7WCg6wM-kilas-balik-perang-dagang-pertama-trump-dan-kenapa-dianggap-gagal,Kilas Balik Perang Dagang Pertama Trump dan Kenapa Dianggap Gagal - MetroTVNews.com,Metrotvnews
https://www.dw.com/id/sengketa-dagang-cina-kanada-meksiko-balas-tarif-dari-as/a-71491762,"Sengketa Dagang: Cina, Kanada, Meksiko Balas Tarif dari AS - DW.com",Dw
https://www.bloombergtechnoz.com/detail-news/61895/produksi-mobil-terancam-tarif-trump-picu-krisis-otomotif-di-as,"Produksi Mobil Terancam, Tarif Trump Picu Krisis Otomotif di AS - Bloomberg Technoz",Bloombergtechnoz
https://money.kompas.com/read/2025/02/02/202819026/trump-resmi-terapkan-tarif-impor-ke-kanada-meksiko-dan-china-ancaman-perang,"Trump Resmi Terapkan Tarif Impor ke Kanada, Meksiko, dan China: Ancaman Perang Dagang Global? - Kompas.com",Kompas
https://www.kompas.id/artikel/trump-mulai-tabuh-genderang-perang-tarif-kanada-meksiko-membalas,"Trump Tabuh Genderang Perang Tarif pada 3 Negara, Kanada-Meksiko Membalas - Kompas.id",Kompas
https://www.cnbcindonesia.com/news/20250203075558-4-607365/isi-lengkap-perang-dagang-20-trump-tarif-berlaku-selasa-ini,"Isi Lengkap Perang Dagang 2.0 Trump, Tarif Berlaku Selasa Ini - CNBC Indonesia",CNBC Indonesia
https://news.detik.com/internasional/d-7759976/duduk-perkara-kebijakan-trump-bikin-panas-sederet-negara,Duduk Perkara Kebijakan Trump Bikin Panas Sederet Negara - detikNews,Detik
https://www.bloombergtechnoz.com/detail-news/61816/mata-uang-asia-berguguran-dilindas-perang-tarif-trump,Mata Uang Asia Berguguran Dilindas Perang Tarif Trump - Bloomberg Technoz,Bloombergtechnoz
https://www.kompas.id/artikel/bagaimana-trump-mengguncang-dunia-dengan-tarif-impor,Bagaimana Trump Mengguncang Dunia dengan Tarif Impor? - Kompas.id,Kompas
https://www.cnbcindonesia.com/research/20250202151943-128-607289/pekan-genting-adu-kuat-sentimen-tarif-trump-pembuktian-prabowo,Pekan Genting: Adu Kuat Sentimen Tarif Trump & Pembuktian Prabowo - CNBC Indonesia,CNBC Indonesia
https://finance.detik.com/berita-ekonomi-bisnis/d-7756681/trump-mulai-perang-tarif-kanada-meksiko-kena-duluan-1-februari,Trump Mulai Perang Tarif! Kanada-Meksiko Kena Duluan 1 Februari - detikFinance,Detik
https://www.cnbcindonesia.com/news/20250203092619-4-607393/7-fakta-perang-dagang-ii-trump-buat-dunia-kacau-apa-dampak-ke-ri,"7 Fakta Perang Dagang II Trump Buat Dunia Kacau, Apa Dampak ke RI? - CNBC Indonesia",CNBC Indonesia
https://www.cnbcindonesia.com/research/20250203061050-128-607344/perang-tarif-segera-dimulai-begini-efek-dahsyatnya-ke-harga-emas,"Perang Tarif Segera Dimulai, Begini Efek Dahsyatnya ke Harga Emas - CNBC Indonesia",CNBC Indonesia
https://www.cnbcindonesia.com/research/20250203123637-128-607479/as-tekor-terus-meksiko-jadi-musuh-utama-perang-dagang-trump,"AS Tekor Terus, Meksiko Jadi Musuh Utama Perang Dagang Trump - CNBC Indonesia",CNBC Indonesia
https://www.metrotvnews.com/read/NG9CQW8P-presiden-meksiko-perintahkan-tarif-impor-balasan-terhadap-as,Presiden Meksiko Perintahkan Tarif Impor Balasan terhadap AS - MetroTVNews.com,Metrotvnews
https://www.bloombergtechnoz.com/detail-news/61811/daftar-barang-di-as-yang-bisa-makin-mahal-akibat-tarif-baru-trump,Daftar Barang di AS yang Bisa Makin Mahal Akibat Tarif Baru Trump - Bloomberg Technoz,Bloombergtechnoz
https://www.cnbcindonesia.com/research/20250203121748-128-607472/perang-belum-dimulai-mata-uang-meksiko-kanada-sudah-dikubur-as,"Perang Belum Dimulai, Mata Uang Meksiko & Kanada Sudah Dikubur AS - CNBC Indonesia",CNBC Indonesia
https://www.bloombergtechnoz.com/detail-news/61845/foxconn-dan-inventec-tertekan-tarif-as-taiwan-siapkan-solusi,"Foxconn dan Inventec Tertekan Tarif AS, Taiwan Siapkan Solusi - Bloomberg Technoz",Bloombergtechnoz
https://www.bloombergtechnoz.com/detail-news/61745/tarif-baja-aluminium-jutaan-ton-logam-impor-as-bakal-terdampak,"Tarif Baja & Aluminium, Jutaan Ton Logam Impor AS Bakal Terdampak - Bloomberg Technoz",Bloombergtechnoz
https://ekonomi.bisnis.com/read/20250202/620/1836033/trump-resmi-kenakan-tarif-impor-ke-china-kanada-dan-meksiko-perang-dagang-memanas,"Trump Resmi Kenakan Tarif Impor ke China, Kanada, dan Meksiko, Perang Dagang Memanas - Bisnis.com",Bisnis Indonesia
https://www.cnbcindonesia.com/research/20250203114047-128-607451/10-barang-paling-banyak-diimpor-as-banyak-dari-china-meksiko-kanada,"10 Barang Paling Banyak Diimpor AS, Banyak dari China-Meksiko-Kanada - CNBC Indonesia",CNBC Indonesia
https://ekbis.sindonews.com/read/1524213/33/sah-trump-teken-tarif-impor-tinggi-dari-china-kanada-dan-meksiko-1738458138?showpage=all,"Sah! Trump Teken Tarif Impor Tinggi dari China, Kanada, dan Meksiko - SINDOnews Ekbis",SINDOnews
https://www.cnbcindonesia.com/research/20250203132041-128-607512/10-negara-penghasil-emas-terbesar-di-dunia-ada-indonesia,"10 Negara Penghasil Emas Terbesar di Dunia, Ada Indonesia - CNBC Indonesia",CNBC Indonesia
https://www.bloombergtechnoz.com/detail-news/61837/penyebab-ihsg-ambles-makin-dalam-1-51-ke-level-7-002,"Penyebab IHSG Ambles Makin Dalam 1,51% ke Level 7.002 - Bloomberg Technoz",Bloombergtechnoz
https://ekbis.sindonews.com/read/1523265/178/trump-kembali-menyerang-the-fed-usai-tak-ada-perubahan-suku-bunga-1738242071,Trump Kembali Menyerang The Fed usai Tak Ada Perubahan Suku Bunga - SINDOnews Ekbis,SINDOnews
https://www.voaindonesia.com/a/gedung-putih-pantau-keluhan-china-atas-tarif-trump-di-wto/7966443.html,Gedung Putih Pantau Keluhan China atas Tarif Trump di WTO - Voice of America Indonesia,VOA Indonesia
https://www.kompas.id/artikel/eropa-siapkan-perlawanan-hadapi-tarif-trump,Eropa Siapkan Perlawanan Hadapi Tarif Trump - Kompas.id,Kompas
https://www.metrotvnews.com/read/b2lCpmrG-ini-dampak-positif-dan-negatif-tarif-trump-bagi-indonesia,Ini Dampak Positif dan Negatif Tarif Trump bagi Indonesia - MetroTVNews.com,Metrotvnews
https://news.detik.com/dw/d-7762688/trump-tunda-tarif-untuk-meksiko-kanada-tetapi-tidak-untuk-china,"Trump Tunda Tarif untuk Meksiko-Kanada, Tetapi Tidak untuk China - detikNews",Detik
https://www.voaindonesia.com/a/tarif-baru-untuk-kanada-meksiko-china-dampak-ekonomi-bagi-warga-as-dan-potensi-implikasi-pada-indonesia/7961476.html,"Tarif Baru untuk Kanada-Meksiko-China, Dampak Ekonomi bagi Warga AS dan Potensi Implikasi pada Indonesia - Voice of America Indonesia",VOA Indonesia
https://ekonomi.bisnis.com/read/20250204/620/1836700/china-balas-kebijakan-tarif-trump-sasar-batu-bara-hingga-google,"China 'Balas' Kebijakan Tarif Trump, Sasar Batu Bara hingga Google - Bisnis.com",Bisnis Indonesia
https://www.republika.id/posts/56608/perang-tarif-memanas-china-balas-as,"Perang Tarif Memanas, China Balas AS | - Republika.id",Republika
https://www.kompas.id/artikel/perang-dagang-memanas-china-balas-tarif-trump,"Perang Dagang Memanas, China Balas Tarif Trump - Kompas.id",Kompas
https://www.antaranews.com/berita/4624613/presiden-meksiko-tarif-as-ditunda-satu-bulan,Presiden Meksiko: Tarif AS ditunda satu bulan - ANTARA News,Antara
https://www.bloombergtechnoz.com/detail-news/62040/balas-as-induk-calvin-klein-illumina-masuk-daftar-hitam-china,"Balas AS, Induk Calvin Klein & Illumina Masuk Daftar Hitam China - Bloomberg Technoz",Bloombergtechnoz
https://ekbis.sindonews.com/read/1525409/33/petinggi-ue-marah-marah-ke-trump-china-tertawa-jika-as-dan-eropa-perang-dagang-1738674168,Petinggi UE Marah-marah ke Trump: China Tertawa Jika AS dan Eropa Perang Dagang - SINDOnews Ekbis,SINDOnews
https://www.cnbcindonesia.com/news/20250204051807-4-607677/pengumuman-trump-tunda-perang-dagang-as-vs-kanada-meksiko,Pengumuman! Trump Tunda 'Perang Dagang' AS vs Kanada & Meksiko - CNBC Indonesia,CNBC Indonesia
https://www.bloombergtechnoz.com/detail-news/62074/mattel-akan-naikkan-harga-boneka-barbie-buntut-tarif-baru-trump,Mattel Akan Naikkan Harga Boneka Barbie Buntut Tarif Baru Trump - Bloomberg Technoz,Bloombergtechnoz
https://www.voaindonesia.com/a/china-bersedia-bekerja-sama-dengan-eu-hadapi-tantangan-global-/7963715.html,China: Bersedia Bekerja Sama dengan EU Hadapi 'Tantangan Global' - Voice of America Indonesia,VOA Indonesia
https://news.detik.com/bbc-world/d-7767209/china-siap-pindahkan-pabrik-demi-hindari-tarif-as-ri-jadi-tujuan,"China Siap Pindahkan Pabrik Demi Hindari Tarif AS, RI Jadi Tujuan? - detikNews",Detik
https://www.cnbcindonesia.com/news/20250206194459-4-608642/bukan-barang-impor-den-yakin-investasi-pabrik-china-bakal-serbu-ri,"Bukan Barang Impor, DEN Yakin Investasi Pabrik China Bakal Serbu RI - CNBC Indonesia",CNBC Indonesia
https://www.bloombergtechnoz.com/detail-news/62041/singapura-bersiap-hadapi-dampak-perang-dagang-as-china,Singapura Bersiap Hadapi Dampak Perang Dagang AS & China - Bloomberg Technoz,Bloombergtechnoz
https://www.bloombergtechnoz.com/detail-news/61993/trump-bekukan-program-usaid-dan-dampaknya-bagi-ri,Trump Bekukan Program USAID dan Dampaknya Bagi RI - Bloomberg Technoz,Bloombergtechnoz
https://www.tempo.co/internasional/polemik-trump-dan-afrika-selatan-memotong-pendanaan-hingga-menuduh-soal-adanya-penyitaan-tanah-1202735,Polemik Trump dan Afrika Selatan: Memotong Pendanaan hingga Menuduh Soal Adanya Penyitaan Tanah - Tempo.co,Tempo
https://www.kompas.id/artikel/saham-dan-industri-aluminium-dan-baja-bisa-melesu-dengan-rencana-tarif-trump,Saham dan Industri Aluminium-Baja Domestik Berisiko Goyang akibat Tarif Trump - Kompas.id,Kompas
https://news.detik.com/dw/d-7773369/trump-naikkan-tarif-aluminium-25-apa-dampaknya,"Trump Naikkan Tarif Aluminium 25%, Apa Dampaknya? - detikNews",Detik
https://www.antaranews.com/berita/4646453/dampak-tarif-baja-dan-aluminium-trump-terhadap-perekonomian-as,Dampak Tarif Baja dan Aluminium Trump terhadap Perekonomian AS - ANTARA News,Antara
https://www.bloombergtechnoz.com/detail-news/62497/kalender-ekonomi-kesaksian-powell-inflasi-as-dan-tarif-trump/2,"Kalender Ekonomi: Kesaksian Powell, Inflasi AS dan Tarif Trump - Market - Bloomberg Technoz",Bloombergtechnoz
https://www.cnnindonesia.com/ekonomi/20250211080951-92-1196827/trump-pungut-tarif-impor-aluminium-dan-baja-seluruh-negara-25-persen,Trump Pungut Tarif Impor Aluminium dan Baja Seluruh Negara 25 Persen - CNN Indonesia,CNN Indonesia
https://www.voaindonesia.com/a/modi-akan-bertemu-trump-dengan-fokus-pada-perdagangan-imigrasi-dan-hubungan-strategis/7970710.html,"Modi akan Bertemu Trump dengan Fokus pada Perdagangan, Imigrasi dan Hubungan Strategis - Voice of America Indonesia",VOA Indonesia
https://www.cnbcindonesia.com/news/20250211163836-4-609811/eropa-jawab-ajakan-perang-terbaru-dari-as-blak-blakan-respons-begini,"Eropa Jawab Ajakan Perang Terbaru dari AS, Blak-blakan Respons Begini - CNBC Indonesia",CNBC Indonesia
https://finance.detik.com/industri/d-7772525/resmi-trump-kenakan-tarif-impor-25-buat-baja-aluminium,Resmi! Trump Kenakan Tarif Impor 25% buat Baja & Aluminium - detikFinance,Detik
