Term,TF-IDF Score,Channel,Article Count
tahun,0.029622242444951444,Katadata,5
menarik,0.029504822941625704,Katadata,5
tarif,0.034314558312575724,Kompas,137
persen,0.028920406479498086,Kompas,137
indonesia,0.028831860999584187,Kompas,137
negara,0.028753754606795228,Kompas,137
trump,0.0278063660715049,Kompas,137
kebijakan,0.02372207354977869,Kompas,137
impor,0.023015074142980093,Kompas,137
perdagangan,0.022854764211599796,Kompas,137
china,0.022706912711392892,Kompas,137
produk,0.022241166249401985,Kompas,137
menjadi,0.021561610210633023,Kompas,137
tersebut,0.021020709916745352,Kompas,137
pasar,0.02078201449418765,Kompas,137
ekonomi,0.020599793008420974,Kompas,137
global,0.01943259002684379,Kompas,137
harga,0.01925284350293956,Kompas,137
pemerintah,0.019110401704123467,Kompas,137
ekspor,0.019073768284791688,Kompas,137
amerika,0.018969813312632415,Kompas,137
presiden,0.018696685161102667,Kompas,137
indonesia,0.07099536357833623,Kompas.tv,8
airlangga,0.0623555203012093,Kompas.tv,8
tarif,0.05480881744671858,Kompas.tv,8
pemerintah,0.05294600346053275,Kompas.tv,8
negosiasi,0.049933487611384254,Kompas.tv,8
trump,0.04937440564003644,Kompas.tv,8
amerika,0.04283354399662334,Kompas.tv,8
amerika serikat,0.041457690793983634,Kompas.tv,8
serikat,0.041457690793983634,Kompas.tv,8
negara,0.04142033388065101,Kompas.tv,8
menteri,0.04105710008795079,Kompas.tv,8
pemerintah indonesia,0.040908116741571694,Kompas.tv,8
melakukan,0.039047800791679466,Kompas.tv,8
perdagangan,0.038484178477142354,Kompas.tv,8
langkah,0.03555750054016287,Kompas.tv,8
update,0.034683106615739555,Kompas.tv,8
mulyani,0.03345450199776119,Kompas.tv,8
sri,0.03345450199776119,Kompas.tv,8
sri mulyani,0.03345450199776119,Kompas.tv,8
pendekatan,0.031924818470243005,Kompas.tv,8
tarif,0.03866432131231904,Kumparan,21
negara,0.031655774836671084,Kumparan,21
trump,0.03059563470052193,Kumparan,21
persen,0.028497277736638085,Kumparan,21
kebijakan,0.028239218025684337,Kumparan,21
indonesia,0.027174437488004036,Kumparan,21
impor,0.02538128247891573,Kumparan,21
perdagangan,0.024544258979738644,Kumparan,21
china,0.024244048103184396,Kumparan,21
pasar,0.023642324783001174,Kumparan,21
menjadi,0.022760608287608678,Kumparan,21
produk,0.022327697235307434,Kumparan,21
ekspor,0.02202334025982543,Kumparan,21
tersebut,0.021968245418935745,Kumparan,21
usd,0.02103605106908646,Kumparan,21
tarif impor,0.020667404060658215,Kumparan,21
tahun,0.020421249555573485,Kumparan,21
ekonomi,0.020279900804433943,Kumparan,21
global,0.019938984107582797,Kumparan,21
amerika,0.019069062110653956,Kumparan,21
trump,0.03804819316000265,Liputan6,12
tarif,0.03309666494414803,Liputan6,12
amerika,0.02893013411037822,Liputan6,12
advertisement,0.028210491369997027,Liputan6,12
perdagangan,0.02659180810820958,Liputan6,12
negara,0.02651984143454209,Liputan6,12
serikat,0.02495100271258784,Liputan6,12
menjadi,0.024502975664455157,Liputan6,12
indonesia,0.024443486203227973,Liputan6,12
amerika serikat,0.024376810988559906,Liputan6,12
pasar,0.02435120873742026,Liputan6,12
besar,0.023760213368563765,Liputan6,12
ekonomi,0.023541553575818733,Liputan6,12
impor,0.023381964728818816,Liputan6,12
mengatakan,0.023182682082226617,Liputan6,12
harga,0.022896626267266115,Liputan6,12
emas,0.022573277118428974,Liputan6,12
bunga,0.022503441077000873,Liputan6,12
usd,0.02239196726825881,Liputan6,12
kebijakan,0.022164168316265876,Liputan6,12
tarif,0.036281502110561636,Metrotvnews,60
trump,0.03099849700547819,Metrotvnews,60
persen,0.0291369588724826,Metrotvnews,60
indonesia,0.028316462390954648,Metrotvnews,60
negara,0.02731553083755434,Metrotvnews,60
perdagangan,0.02251188642480574,Metrotvnews,60
tiongkok,0.022261613963016576,Metrotvnews,60
kebijakan,0.022040304298375033,Metrotvnews,60
barang,0.02152411900266746,Metrotvnews,60
amerika,0.02129951533347611,Metrotvnews,60
april,0.020954360807115012,Metrotvnews,60
ekonomi,0.02088244089492298,Metrotvnews,60
presiden,0.020581683464942043,Metrotvnews,60
tersebut,0.020231269896234784,Metrotvnews,60
serikat,0.020163458763940968,Metrotvnews,60
impor,0.0197245950103566,Metrotvnews,60
amerika serikat,0.01961475789303253,Metrotvnews,60
donald,0.01824964064808002,Metrotvnews,60
baru,0.01778895923708853,Metrotvnews,60
dagang,0.017318380961429437,Metrotvnews,60
tarif,0.04467022424155562,Republika,6
trump,0.04289720264239517,Republika,6
tersebut,0.04249403781413026,Republika,6
perdagangan,0.03691345899761347,Republika,6
ekspor,0.03678356130661021,Republika,6
persen,0.03656403961130719,Republika,6
mengatakan,0.035638208186010274,Republika,6
china,0.03378132624926248,Republika,6
presiden,0.0333406015745786,Republika,6
negara,0.033118193014974255,Republika,6
barang,0.03188696571792525,Republika,6
impor,0.031279599914910264,Republika,6
produk,0.030434250687517952,Republika,6
hari,0.030099503219002652,Republika,6
masyarakat,0.02996291674986383,Republika,6
sehat,0.02935839676798436,Republika,6
informasi,0.028823297564984862,Republika,6
menjadi,0.028698898195199024,Republika,6
besar,0.027560948531320174,Republika,6
kanada,0.02727546793461052,Republika,6
trump,0.041279862620496426,SINDOnews,18
tarif,0.04096049539721122,SINDOnews,18
china,0.03646338720734468,SINDOnews,18
hari,0.029854856472456504,SINDOnews,18
amerika,0.027711670044184313,SINDOnews,18
presiden,0.02696496031677901,SINDOnews,18
barang,0.025808876831107296,SINDOnews,18
usd,0.025671342168070377,SINDOnews,18
negara,0.025555275535525536,SINDOnews,18
ekonomi,0.024245551822254095,SINDOnews,18
impor,0.023692315122620322,SINDOnews,18
mengatakan,0.023541757947948525,SINDOnews,18
amerika serikat,0.02261102150859186,SINDOnews,18
serikat,0.02261102150859186,SINDOnews,18
tahun,0.02233351184156758,SINDOnews,18
perdagangan,0.0222970941078546,SINDOnews,18
rupiah,0.02156148074484817,SINDOnews,18
eropa,0.021297387009506986,SINDOnews,18
terbaru,0.021278603730001223,SINDOnews,18
donald trump,0.021230974817589888,SINDOnews,18
tarif,0.05641394064574962,Suara,5
indonesia,0.05359846156613693,Suara,5
trump,0.05241029491063446,Suara,5
amerika,0.049781827025260766,Suara,5
perdagangan,0.04526543817015077,Suara,5
tiongkok,0.04433782078487264,Suara,5
baru,0.04163624341213772,Suara,5
serikat,0.04099585685777714,Suara,5
amerika serikat,0.03955458157181929,Suara,5
djauhari,0.03950844287977961,Suara,5
negara,0.0366244229868115,Suara,5
presiden,0.0366244229868115,Suara,5
ekonomi,0.035694621093540296,Suara,5
sangat,0.03562390500241441,Suara,5
hubungan,0.034215365127405216,Suara,5
menjadi,0.034070398937502806,Suara,5
global,0.03351462670144356,Suara,5
banyak,0.03274382750191196,Suara,5
mobil,0.032360829264085234,Suara,5
toyota,0.031701813695834295,Suara,5
tarif,0.040571060905678864,Tempo,58
indonesia,0.03428347564812977,Tempo,58
trump,0.03375035352196416,Tempo,58
negara,0.03326676823046991,Tempo,58
persen,0.032058998984871225,Tempo,58
amerika,0.02880728399438363,Tempo,58
impor,0.027620272803186047,Tempo,58
produk,0.02669606861471798,Tempo,58
cina,0.026402805517821475,Tempo,58
barang,0.025822466385542617,Tempo,58
perdagangan,0.025692219864307465,Tempo,58
kebijakan,0.02512193319460919,Tempo,58
tersebut,0.02407884806392592,Tempo,58
amerika serikat,0.023834270454551207,Tempo,58
serikat,0.023703782447762115,Tempo,58
ekonomi,0.02205739950419196,Tempo,58
presiden,0.021647875243716523,Tempo,58
april,0.02139939620991957,Tempo,58
sebesar,0.021107549251414406,Tempo,58
tarif impor,0.020787864335418977,Tempo,58
tarif,0.0452537139578192,VOA Indonesia,13
trump,0.04235589123021871,VOA Indonesia,13
amerika,0.03870720683554067,VOA Indonesia,13
china,0.035655286660294,VOA Indonesia,13
kanada,0.0353626211231559,VOA Indonesia,13
meksiko,0.0322570950917713,VOA Indonesia,13
mengatakan,0.032110749890335445,VOA Indonesia,13
amerika serikat,0.031224970798849443,VOA Indonesia,13
serikat,0.031224970798849443,VOA Indonesia,13
perdagangan,0.030519575766204086,VOA Indonesia,13
negara,0.029611780068582703,VOA Indonesia,13
hari,0.02916312365355441,VOA Indonesia,13
persen,0.02901456872538538,VOA Indonesia,13
barang,0.02828483589357371,VOA Indonesia,13
impor,0.028150242897976963,VOA Indonesia,13
produk,0.02781410247856895,VOA Indonesia,13
lihat,0.026221903757762136,VOA Indonesia,13
lihat komentar,0.025383476387352798,VOA Indonesia,13
komentar,0.025383476387352798,VOA Indonesia,13
besar,0.02536234151737262,VOA Indonesia,13
