word,entity_group,frequency,word_lower,mean_tfidf,freq_normalized,combined_score
dewan,NOR,17,dewan,0.009661341309252796,0.009843659525188187,0.009752500417220492
komisi,NOR,15,komisi,0.010677005543638242,0.008685581933989578,0.00968129373881391
desember,DAT,21,desember,0.006788684775471778,0.012159814707585408,0.009474249741528593
iphone,PRD,20,iphone,0.007326625481783579,0.011580775911986103,0.00945370069688484
taiwan,GPE,20,taiwan,0.007294801020688295,0.011580775911986103,0.009437788466337199
dc,GPE,13,dc,0.011325366001756551,0.007527504342790967,0.009426435172273758
imf,ORG,18,imf,0.008319012733442656,0.010422698320787493,0.009370855527115075
fentanil,PER,20,fentanil,0.00695818885214999,0.011580775911986103,0.009269482382068046
brasil,GPE,19,brasil,0.007433266896131008,0.011001737116386797,0.009217502006258902
departemen,NOR,14,departemen,0.010156109453131733,0.008106543138390272,0.009131326295761003
ihsg,PRD,19,ihsg,0.006983710727882419,0.011001737116386797,0.008992723922134608
co,PRD,3,co,0.01624103444695833,0.0017371163867979154,0.008989075416878123
wakil,NOR,9,wakil,0.012659192447651537,0.0052113491603937466,0.008935270804022642
scroll,PRD,15,scroll,0.009086784960121934,0.008685581933989578,0.008886183447055756
new,GPE,10,new,0.011938283533156553,0.005790387955993051,0.008864335744574802
keuangan,LAW,1,keuangan,0.01702257802221872,0.0005790387955993051,0.008800808408909013
scott bessent,PER,30,scott bessent,0.0,0.017371163867979156,0.008685581933989578
dolar as,MON,30,dolar as,0.0,0.017371163867979156,0.008685581933989578
federal,ORG,13,federal,0.009635562693187388,0.007527504342790967,0.008581533517989178
perekonomian,ORG,6,perekonomian,0.013683280358723715,0.003474232773595831,0.008578756566159773
triliun,ORG,5,triliun,0.014158103890796329,0.0028951939779965257,0.008526648934396428
subianto,PER,11,subianto,0.010608114318023441,0.006369426751592357,0.008488770534807899
pesawat,PRD,15,pesawat,0.008271660306904656,0.008685581933989578,0.008478621120447116
rabu april,DAT,29,rabu april,0.0,0.01679212507237985,0.008396062536189925
pt,ORG,13,pt,0.00913345231858114,0.007527504342790967,0.008330478330686054
xi,PER,12,xi,0.009698049291091405,0.006948465547191662,0.008323257419141533
menteri keuangan,NOR,28,menteri keuangan,0.0,0.016213086276780544,0.008106543138390272
dunia,ORG,10,dunia,0.01017585885852783,0.005790387955993051,0.00798312340726044
qris,PRD,18,qris,0.005465910690077111,0.010422698320787493,0.007944304505432303
prancis,GPE,16,prancis,0.006498095574881396,0.009264620729588882,0.00788135815223514
kantor,LOC,8,kantor,0.011089611193678078,0.004632310364794441,0.007860960779236259
menteri koordinator bidang perekonomian,NOR,27,menteri koordinator bidang perekonomian,0.0,0.01563404748118124,0.00781702374059062
bloomberg news bloomberg,ORG,27,bloomberg news bloomberg,0.0,0.01563404748118124,0.00781702374059062
bitcoin,PRD,13,bitcoin,0.008105334304793732,0.007527504342790967,0.007816419323792349
mesin,PRD,13,mesin,0.008084043755339556,0.007527504342790967,0.007805774049065261
fed,ORG,10,fed,0.009652941757439762,0.005790387955993051,0.007721664856716407
republik,GPE,10,republik,0.009361500368166199,0.005790387955993051,0.007575944162079625
pemerintah as,NOR,26,pemerintah as,0.0,0.015055008685581933,0.007527504342790967
prabowo subianto,PER,26,prabowo subianto,0.0,0.015055008685581933,0.007527504342790967
dan,ORG,1,dan,0.014427098413345016,0.0005790387955993051,0.007503068604472161
internasional,EVT,3,internasional,0.013103267173508277,0.0017371163867979154,0.007420191780153096
international,ORG,10,international,0.008827523719497797,0.005790387955993051,0.007308955837745424
trade,ORG,7,trade,0.010470550326424017,0.004053271569195136,0.007261910947809576
bloomberg technoz jakarta,ORG,25,bloomberg technoz jakarta,0.0,0.01447596988998263,0.007237984944991315
hari,EVT,8,hari,0.00973252346588724,0.004632310364794441,0.00718241691534084
universitas,ORG,9,universitas,0.00915221466615669,0.0052113491603937466,0.0071817819132752175
tempo,ORG,2,tempo,0.013138191038757319,0.0011580775911986102,0.007148134314977964
ekonomi,PRD,2,ekonomi,0.013075068544031072,0.0011580775911986102,0.007116573067614841
konferensi,EVT,4,konferensi,0.011874919390729074,0.0023161551823972205,0.007095537286563147
apr,NOR,7,apr,0.010133529385185424,0.004053271569195136,0.00709340047719028
jerman,GPE,15,jerman,0.005447091661900941,0.008685581933989578,0.00706633679794526
howard,PER,12,howard,0.007153650830175762,0.006948465547191662,0.007051058188683712
powell,PER,14,powell,0.005839638529717992,0.008106543138390272,0.0069730908340541325
pengadilan,NOR,11,pengadilan,0.007495096362247487,0.006369426751592357,0.006932261556919922
bidang,NOR,1,bidang,0.013235130272440217,0.0005790387955993051,0.0069070845340197615
menko,NOR,12,menko,0.006705817026606331,0.006948465547191662,0.006827141286898996
ceo,ORG,8,ceo,0.008761359240759872,0.004632310364794441,0.006696834802777156
paman,ORG,6,paman,0.009628339542827082,0.003474232773595831,0.006551286158211456
timur,GPE,10,timur,0.007268310129458076,0.005790387955993051,0.006529349042725564
chip,PRD,11,chip,0.0066776470130711545,0.006369426751592357,0.006523536882331756
organisasi,NOR,10,organisasi,0.007174961129355202,0.005790387955993051,0.006482674542674127
konferensi pers,EVT,22,konferensi pers,0.0,0.012738853503184714,0.006369426751592357
wall,LOC,10,wall,0.006937822036029013,0.005790387955993051,0.006364104996011032
koordinator,NOR,1,koordinator,0.011844034857716498,0.0005790387955993051,0.006211536826657902
afrika,GPE,12,afrika,0.0054380726278068425,0.006948465547191662,0.006193269087499252
jinping,ORG,8,jinping,0.007624457502517133,0.004632310364794441,0.0061283839336557875
hartarto,PER,1,hartarto,0.011664564665733016,0.0005790387955993051,0.006121801730666161
korea selatan,GPE,21,korea selatan,0.0,0.012159814707585408,0.006079907353792704
presiden asdonald,NOR,21,presiden asdonald,0.0,0.012159814707585408,0.006079907353792704
york,PRD,4,york,0.009806729048147356,0.0023161551823972205,0.0060614421152722885
of,ORG,1,of,0.011400096987473966,0.0005790387955993051,0.005989567891536636
utara,ORG,8,utara,0.007338736847168694,0.004632310364794441,0.005985523605981567
truth,ORG,8,truth,0.007146297455226021,0.004632310364794441,0.005889303910010231
pers,NOR,2,pers,0.010619092548321437,0.0011580775911986102,0.005888585069760023
perdana,NOR,3,perdana,0.009972823093185697,0.0017371163867979154,0.005854969739991806
inc,ORG,6,inc,0.00820596332523314,0.003474232773595831,0.005840098049414485
bisnis com jakarta,ORG,20,bisnis com jakarta,0.0,0.011580775911986103,0.005790387955993051
