word,entity_group,frequency,word_lower,mean_tfidf,freq_normalized,combined_score
as,MON,3,as,0.11520582912511068,0.003667481662591687,0.059436655393851186
as,PER,2,as,0.11520582912511068,0.0024449877750611247,0.0588254084500859
trump,DAT,1,trump,0.11578392235905109,0.0012224938875305623,0.05850320812329083
trump,GPE,1,trump,0.11578392235905109,0.0012224938875305623,0.05850320812329083
trump,LAW,1,trump,0.11578392235905109,0.0012224938875305623,0.05850320812329083
trump,MON,1,trump,0.11578392235905109,0.0012224938875305623,0.05850320812329083
as,EVT,1,as,0.11520582912511068,0.0012224938875305623,0.058214161506320625
indonesia,NOR,19,indonesia,0.09151009124604419,0.023227383863080684,0.057368737554562434
presiden,ORG,23,presiden,0.08542859137152213,0.028117359413202935,0.056772975392362535
asia,GPE,71,asia,0.02521739216526479,0.08679706601466992,0.05600722908996736
serikat,NOR,16,serikat,0.090258980977635,0.019559902200488997,0.054909441589062
januari,DAT,67,januari,0.0220809123915303,0.08190709046454768,0.05199400142803899
tiongkok,GPE,68,tiongkok,0.020311798240661778,0.08312958435207823,0.051720691296370004
amerika,ORG,3,amerika,0.09923503277201044,0.003667481662591687,0.051451257217301066
amerika,NOR,2,amerika,0.09923503277201044,0.0024449877750611247,0.05084001027353578
amerika,LAW,1,amerika,0.09923503277201044,0.0012224938875305623,0.050228763329770505
amerika,MON,1,amerika,0.09923503277201044,0.0012224938875305623,0.050228763329770505
serikat,PRD,7,serikat,0.090258980977635,0.008557457212713936,0.04940821909517447
vietnam,GPE,65,vietnam,0.018453361140407427,0.07946210268948656,0.04895773191494699
sabtu,DAT,61,sabtu,0.020332109868341212,0.0745721271393643,0.04745211850385275
mobil,PRD,60,mobil,0.021058715545946183,0.07334963325183375,0.047204174398889964
indonesia,EVT,2,indonesia,0.09151009124604419,0.0024449877750611247,0.046977539510552654
serikat,MON,3,serikat,0.090258980977635,0.003667481662591687,0.04696323132011335
indonesia,DAT,1,indonesia,0.09151009124604419,0.0012224938875305623,0.04636629256678738
serikat,LAW,2,serikat,0.090258980977635,0.0024449877750611247,0.04635198437634806
amerika serikat as,GPE,75,amerika serikat as,0.0,0.09168704156479218,0.04584352078239609
maret,DAT,57,maret,0.020667430438080215,0.06968215158924206,0.045174791013661134
us,MON,45,us,0.03515028740209947,0.0550122249388753,0.04508125617048739
februari,DAT,57,februari,0.019874388788649784,0.06968215158924206,0.04477827018894592
ri,GPE,52,ri,0.023762894090904246,0.06356968215158924,0.043666288121246746
rp,MON,48,rp,0.028056590514385634,0.05867970660146699,0.04336814855792631
presiden,PER,1,presiden,0.08542859137152213,0.0012224938875305623,0.04332554262952635
china,ORG,15,china,0.06692263736568997,0.018337408312958436,0.042630022839324204
minggu,DAT,52,minggu,0.018923888655682716,0.06356968215158924,0.04124678540363598
donald,LAW,1,donald,0.08086594318349713,0.0012224938875305623,0.04104421853551385
airlangga,PER,48,airlangga,0.022466159403950733,0.05867970660146699,0.040572933002708866
menteri,NOR,36,menteri,0.03659833067815864,0.044009779951100246,0.04030405531462944
kementerian,NOR,43,kementerian,0.02515506208788085,0.05256723716381418,0.03886114962584752
dolar,MON,43,dolar,0.024253302299656457,0.05256723716381418,0.03841026973173532
mei,DAT,47,mei,0.019144142858661815,0.05745721271393643,0.03830067778629912
india,GPE,50,india,0.015283910723396634,0.061124694376528114,0.03820430254996238
april,ORG,16,april,0.055870892783607934,0.019559902200488997,0.03771539749204847
jakarta,NOR,8,jakarta,0.065613329253807,0.009779951100244499,0.03769664017702575
rupiah,MON,48,rupiah,0.015231214448869733,0.05867970660146699,0.03695546052516836
jepang,GPE,45,jepang,0.014951475414176244,0.0550122249388753,0.034981850176525775
us,PRD,28,us,0.03515028740209947,0.034229828850855744,0.0346900581264776
uni,GPE,32,uni,0.030156085409598382,0.039119804400977995,0.03463794490528819
cnbc,ORG,20,cnbc,0.04455998186036229,0.02444987775061125,0.034504929805486764
cina,GPE,44,cina,0.013994372435979499,0.05378973105134474,0.03389205174366212
jakarta,FAC,1,jakarta,0.065613329253807,0.0012224938875305623,0.033417911570668785
jakarta,MON,1,jakarta,0.065613329253807,0.0012224938875305623,0.033417911570668785
bank,ORG,33,bank,0.024441049819933888,0.040342298288508556,0.03239167405422122
rabu,ORG,20,rabu,0.039279631936390884,0.02444987775061125,0.03186475484350107
eropa,NOR,19,eropa,0.039229084648365685,0.023227383863080684,0.031228234255723186
minyak,PRD,36,minyak,0.018122259100371806,0.044009779951100246,0.031066019525736024
april,PER,5,april,0.055870892783607934,0.006112469437652812,0.030991681110630373
uni,NOR,26,uni,0.030156085409598382,0.03178484107579462,0.030970463242696502
reuters,ORG,39,reuters,0.014207478092521613,0.04767726161369193,0.03094236985310677
prabowo,PER,36,prabowo,0.017685006495874407,0.044009779951100246,0.030847393223487327
pemerintahan,NOR,35,pemerintahan,0.01848979850473544,0.042787286063569685,0.03063854228415256
airlangga hartarto,PER,50,airlangga hartarto,0.0,0.061124694376528114,0.030562347188264057
persen,PRD,20,persen,0.03650602055710117,0.02444987775061125,0.03047794915385621
cnbc,NOR,13,cnbc,0.04455998186036229,0.01589242053789731,0.030226201199129797
pemerintah indonesia,NOR,49,pemerintah indonesia,0.0,0.05990220048899755,0.029951100244498777
april,LAW,2,april,0.055870892783607934,0.0024449877750611247,0.029157940279334528
juni,DAT,36,juni,0.013472192895006221,0.044009779951100246,0.028740986423053234
april,PRD,1,april,0.055870892783607934,0.0012224938875305623,0.028546693335569247
pemerintah,PRD,1,pemerintah,0.05558316300297256,0.0012224938875305623,0.02840282844525156
wib,TIM,28,wib,0.022242141283153122,0.034229828850855744,0.028235985067004435
uni,ORG,21,uni,0.030156085409598382,0.02567237163814181,0.027914228523870096
the,ORG,28,the,0.01922335218968552,0.034229828850855744,0.026726590520270634
bloomberg,ORG,14,bloomberg,0.03445939370917395,0.017114914425427872,0.025787154067300908
us,ORG,13,us,0.03515028740209947,0.01589242053789731,0.02552135396999839
putih,ORG,17,putih,0.02935628160605662,0.02078239608801956,0.02506933884703809
gedung putih,ORG,41,gedung putih,0.0,0.05012224938875306,0.02506112469437653
tempo co jakarta,ORG,41,tempo co jakarta,0.0,0.05012224938875306,0.02506112469437653
persen,MON,11,persen,0.03650602055710117,0.013447432762836185,0.024976726659968678
cnbc,PRD,4,cnbc,0.04455998186036229,0.004889975550122249,0.02472497870524227
inggris,GPE,30,inggris,0.011613148852140754,0.03667481662591687,0.02414398273902881
cnbc,PER,3,cnbc,0.04455998186036229,0.003667481662591687,0.02411373176147699
com,ORG,15,com,0.02987035852705882,0.018337408312958436,0.024103883420008628
cnbc,EVT,1,cnbc,0.04455998186036229,0.0012224938875305623,0.022891237873946424
miliar,MON,18,miliar,0.023049924608324324,0.022004889975550123,0.022527407291937224
senin,ORG,13,senin,0.029064673974957527,0.01589242053789731,0.02247854725642742
empat,CRD,27,empat,0.010857840142300802,0.03300733496332518,0.021932587552812993
kamis,ORG,10,kamis,0.031224559576726017,0.012224938875305624,0.02172474922601582
dua,QTY,6,dua,0.03576607765994889,0.007334963325183374,0.02155052049256613
rabu,PER,3,rabu,0.039279631936390884,0.003667481662591687,0.021473556799491287
eropa,ORG,3,eropa,0.039229084648365685,0.003667481662591687,0.021448283155478687
persen,LAW,5,persen,0.03650602055710117,0.006112469437652812,0.02130924499737699
ue,GPE,25,ue,0.011499758970964639,0.030562347188264057,0.021031053079614347
rabu,NOR,2,rabu,0.039279631936390884,0.0024449877750611247,0.020862309855726003
eropa,PRD,2,eropa,0.039229084648365685,0.0024449877750611247,0.020837036211713404
selasa,ORG,8,selasa,0.03185344249323526,0.009779951100244499,0.020816696796739878
uni eropa,GPE,34,uni eropa,0.0,0.04156479217603912,0.02078239608801956
us,LAW,5,us,0.03515028740209947,0.006112469437652812,0.02063137841987614
asean,GPE,24,asean,0.011876304286037538,0.029339853300733496,0.02060807879338552
saham,PRD,21,saham,0.015326592742160637,0.02567237163814181,0.020499482190151224
airlangga,ORG,15,airlangga,0.022466159403950733,0.018337408312958436,0.020401783858454585
usd,MON,21,usd,0.015091322864761645,0.02567237163814181,0.02038184725145173
rabu,PRD,1,rabu,0.039279631936390884,0.0012224938875305623,0.020251062911960722
lima,CRD,25,lima,0.009875292027001426,0.030562347188264057,0.02021881960763274
wto,ORG,24,wto,0.011050069659407814,0.029339853300733496,0.020194961480070654
malaysia,GPE,26,malaysia,0.008571045982538286,0.03178484107579462,0.020177943529166454
rp triliun,MON,33,rp triliun,0.0,0.040342298288508556,0.020171149144254278
us miliar,MON,33,us miliar,0.0,0.040342298288508556,0.020171149144254278
cnbc indonesia,NOR,32,cnbc indonesia,0.0,0.039119804400977995,0.019559902200488997
rp,PRD,9,rp,0.028056590514385634,0.011002444987775062,0.019529517751080347
persen,ORG,2,persen,0.03650602055710117,0.0024449877750611247,0.019475504166081146
washington,ORG,6,washington,0.031155204741886128,0.007334963325183374,0.01924508403353475
dua,ORD,2,dua,0.03576607765994889,0.0024449877750611247,0.019105532717505005
news,ORG,13,news,0.022272673797075638,0.01589242053789731,0.019082547167486474
dollar,MON,21,dollar,0.01229946703774674,0.02567237163814181,0.018985919337944274
menteri,ORG,1,menteri,0.03659833067815864,0.0012224938875305623,0.0189104122828446
persen,DAT,1,persen,0.03650602055710117,0.0012224938875305623,0.018864257222315866
baja,PRD,23,baja,0.009606102275188698,0.028117359413202935,0.018861730844195818
australia,GPE,23,australia,0.008872354792570857,0.028117359413202935,0.018494857102886897
dua,LAW,1,dua,0.03576607765994889,0.0012224938875305623,0.018494285773739724
dua,EVT,1,dua,0.03576607765994889,0.0012224938875305623,0.018494285773739724
korea,GPE,20,korea,0.012502871981609138,0.02444987775061125,0.018476374866110194
kanada,MON,1,kanada,0.035455432329710254,0.0012224938875305623,0.018338963108620408
kanada,ORG,1,kanada,0.035455432329710254,0.0012224938875305623,0.018338963108620408
dolar as,MON,30,dolar as,0.0,0.03667481662591687,0.018337408312958436
scott bessent,PER,30,scott bessent,0.0,0.03667481662591687,0.018337408312958436
thailand,GPE,23,thailand,0.00848104155285306,0.028117359413202935,0.018299200483027998
us,NOR,1,us,0.03515028740209947,0.0012224938875305623,0.018186390644815014
us,LOC,1,us,0.03515028740209947,0.0012224938875305623,0.018186390644815014
ri,ORG,10,ri,0.023762894090904246,0.012224938875305624,0.017993916483104937
wib,ORG,11,wib,0.022242141283153122,0.013447432762836185,0.017844787022994656
bloomberg,PRD,1,bloomberg,0.03445939370917395,0.0012224938875305623,0.017840943798352254
aluminium,PRD,22,aluminium,0.008762013352620812,0.02689486552567237,0.017828439439146592
putih,LOC,5,putih,0.02935628160605662,0.006112469437652812,0.017734375521854716
meksiko,ORG,3,meksiko,0.03169611733485057,0.003667481662591687,0.01768179949872113
miliar,ORG,10,miliar,0.023049924608324324,0.012224938875305624,0.017637431741814973
bi,ORG,20,bi,0.010624159802303,0.02444987775061125,0.017537018776457122
rusia,GPE,22,rusia,0.007925792977307404,0.02689486552567237,0.017410329251489887
ri,NOR,9,ri,0.023762894090904246,0.011002444987775062,0.017382669539339653
perdagangan,ORG,7,perdagangan,0.02614427445178366,0.008557457212713936,0.017350865832248798
gedung,ORG,5,gedung,0.0281635921412174,0.006112469437652812,0.017138030789435106
gedung,LOC,5,gedung,0.0281635921412174,0.006112469437652812,0.017138030789435106
rabu april,DAT,28,rabu april,0.0,0.034229828850855744,0.017114914425427872
menteri keuangan,NOR,28,menteri keuangan,0.0,0.034229828850855744,0.017114914425427872
rp,ORG,5,rp,0.028056590514385634,0.006112469437652812,0.017084529976019225
